timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
106018045,105999607,8944899,0.022157954,0.21470612,0.35365534,3
106106195,106068800,8944899,-0.042225216,0.24158293,0.3421453,3
106156108,106137441,8944899,-0.017297529,0.21264191,0.3102645,3
106244814,106206086,8944899,-0.028112995,0.19480966,0.32396787,3
106293978,106274767,8944899,-0.10671358,0.23921768,0.29863897,3
106381273,106343903,8944899,-0.03182268,0.18348068,0.3053968,3
106430916,106412258,8944899,-0.059664898,0.1805566,0.3774763,3
106519045,106480945,8944899,-0.11726713,0.21996547,0.32124764,3
106569032,106550245,8944899,-0.068609685,0.17021753,0.28837118,3
106656024,106618773,8944899,-0.09036297,0.2160776,0.32745153,3
106705735,106687124,8944899,-0.055179328,0.18129583,0.27664524,3
106793853,106755706,8944899,-0.047689017,0.20474966,0.36514685,3
106843866,106825237,8944899,-0.13336125,0.21833429,0.35010993,3
106931205,106893738,8944899,-0.06244301,0.17181428,0.40756935,3
106980847,106962392,8944899,-0.04470909,0.06521769,0.44552115,3
107068896,107030950,8944899,-0.014233251,-0.03731589,0.45901474,3
107118625,107100001,8944899,0.009691933,-0.13034308,0.4530055,3
107205774,107168428,8944899,0.0335946,-0.22353399,0.42314333,3
107255522,107236855,8944899,0.052397415,-0.30391467,0.37874267,3
107344603,107306471,8944899,0.06689359,-0.37748227,0.3094786,3
107393606,107375095,8944899,0.10338255,-0.41434714,0.25889358,3
107480714,107443368,8944899,0.20094019,-0.3791557,0.25776455,3
107531528,107512019,8944899,0.33415502,-0.30636165,0.2091304,3
107618946,107581452,8944899,0.28645688,-0.3110294,0.030744785,3
107668616,107649943,8944899,0.16360489,-0.30228582,-0.092407785,3
107755877,107718401,8944899,0.09977215,-0.26253387,-0.10732973,3
107805510,107786825,8944899,0.11242411,-0.2451638,-0.11127948,3
