timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
86595678,0.0032541114,-0.04842746,-0.13850273,0.0,0.99731207,-5.2648553e-05,-0.024265852,-0.06913635,0.0,0.0,-0.10645843,0,0
86648905,0.036901128,-0.04756055,-0.13850272,0.0,0.99718165,0.016755026,-0.024993272,-0.068727046,0.0,0.0,-0.09753086,0,0
86701631,0.036124233,-0.05308064,-0.13850272,0.0,0.9971222,0.016175525,-0.027718598,-0.06868222,0.0,0.0,-0.10792851,0,0
86744035,0.0036460157,-0.05220595,-0.13850273,0.0,0.99726486,1.2003703e-05,-0.02616351,-0.06912487,0.0,0.0,-0.114148736,0,0
86797063,0.014506834,-0.06573644,-0.13850272,0.0,0.9970545,0.004958179,-0.033284303,-0.06891903,0.0,0.0,-0.10416855,0,0
86849970,0.044270065,-0.053385317,-0.14094424,0.0,0.99695987,0.020191573,-0.028174648,-0.06978221,0.0,0.0,-0.08496531,0,0
86902800,0.011863595,-0.03171322,-0.14699787,0.0,0.9971642,0.0047506783,-0.016248388,-0.07332845,0.0,0.0,-0.08502197,0,0
86945489,-0.0033868572,-0.05406035,-0.14867441,0.0,0.9968692,-0.0036953844,-0.026826479,-0.07428716,0.0,0.0,-0.09524109,0,0
86998605,-0.008252014,-0.08051386,-0.15113765,0.0,0.99631715,-0.007149314,-0.039819602,-0.07560069,0.0,0.0,-0.102598965,0,0
87051219,0.040503636,-0.074911475,-0.15192807,0.0,0.99627,0.017336566,-0.038867082,-0.07506608,0.0,0.0,-0.083949395,0,0
87093574,0.008725552,-0.07348953,-0.15222657,0.0,0.99643445,0.0015537845,-0.036961306,-0.075827956,0.0,0.0,-0.07473182,0,0
87146785,-0.024398398,-0.09693322,-0.15158224,0.0,0.9958395,-0.015817707,-0.04738237,-0.07621335,0.0,0.0,-0.080536455,0,0
87200195,0.012360667,-0.090256765,-0.15268959,0.0,0.99607426,0.0027152807,-0.04545169,-0.075913556,0.0,0.0,-0.07743177,0,0
87252519,0.031048793,-0.07568743,-0.1538627,0.0,0.99625343,0.0125593245,-0.038910467,-0.076205604,0.0,0.0,-0.0661893,0,0
87294930,-0.01310326,-0.09668249,-0.1562284,0.0,0.99573994,-0.010294722,-0.047663376,-0.078257576,0.0,0.0,-0.07197734,0,0
87348118,-0.011959079,-0.07506668,-0.15575689,0.0,0.99623156,-0.008876527,-0.036945246,-0.07796727,0.0,0.0,-0.0800574,0,0
87400891,0.011976325,-0.07489603,-0.15258503,0.0,0.9963913,0.0031130074,-0.03778578,-0.07594019,0.0,0.0,-0.062049944,0,0
87443325,0.007057126,-0.060159866,-0.1564775,0.0,0.996492,0.0011655235,-0.03025887,-0.078017324,0.0,0.0,-0.06556469,0,0
87496144,-0.00854199,-0.10073751,-0.15820496,0.0,0.9955827,-0.008230647,-0.049852498,-0.07913343,0.0,0.0,-0.08145742,0,0
87549984,-0.000732007,-0.09279486,-0.15627617,0.0,0.99587446,-0.0039849128,-0.046210725,-0.077991515,0.0,0.0,-0.067800365,0,0
87602107,-0.0019032389,-0.04287572,-0.17084965,0.0,0.9961224,-0.0027768887,-0.021276863,-0.08532164,0.0,0.0,-0.051990684,0,0
87644636,-0.0043672496,-0.06570366,-0.1869663,0.0,0.9950874,-0.0052389773,-0.032498695,-0.093367875,0.0,0.0,-0.054129127,0,0
87697556,-0.022848977,-0.08775829,-0.20043528,0.0,0.9939097,-0.015744386,-0.042500224,-0.100445755,0.0,0.0,-0.054097272,0,0
